id,in_node,out_node,semantic_type,processid,sequence,priority,type
0,1.1,2.1,肯定+本人,benrenshoucui,1.0,,1.0
2,1.1,2.2,否定+非本人+关联人+非关联人,benrenshoucui,2.0,,1.0
3,2.1,3.1,不认可金额,benrenshoucui,3.0,,1.0
4,2.1,3.2,肯定+清楚借款+同意今日还款+同意明日还款+不同意今日还款+不同意明日还款,benrenshoucui,4.0,,1.0
5,2.1,3.4,否定+不清楚借款+遗忘语境,benrenshoucui,5.0,,1.0
6,2.2,3.5,肯定+关联人+同意转告,benrenshoucui,6.0,,1.0
7,2.2,3.6,否定+非关联人+不同意转告,benrenshoucui,7.0,,1.0
8,3.2,5.1,肯定+同意今日还款,benrenshoucui,8.0,,1.0
9,3.2,4.2,否定+不同意今日还款+同意明日还款,benrenshoucui,9.0,,1.0
10,3.4,4.4,肯定+清楚借款+回忆起借款+同意今日还款+同意明日还款+不同意今日还款+不同意明日还款,benrenshoucui,10.0,,1.0
11,3.4,4.5,否定+不清楚借款+遗忘语境,benrenshoucui,11.0,,1.0
12,3.5,4.6,肯定+同意转告,benrenshoucui,12.0,,1.0
13,3.5,4.7,否定+不同意转告+非关联人,benrenshoucui,13.0,,1.0
14,4.2,6.1,肯定+同意明日还款+同意今日还款,benrenshoucui,14.0,,1.0
15,4.2,5.4,否定+不同意明日还款,benrenshoucui,15.0,,1.0
16,4.4,6.3,肯定+同意今日还款,benrenshoucui,16.0,,1.0
17,4.4,5.6,否定+不同意今日还款,benrenshoucui,17.0,,1.0
18,5.6,7.1,肯定+同意明日还款+同意今日还款,benrenshoucui,18.0,,1.0
19,5.6,6.6,否定+不同意明日还款,benrenshoucui,19.0,,1.0
20,1.1,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
21,2.1,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
22,2.2,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
23,3.2,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
24,3.4,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
25,3.5,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
26,4.2,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
27,4.4,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
28,5.6,z_askcompany,询问机构,benrenshoucui,,1.0,2.0
29,1.1,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
30,2.1,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
31,2.2,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
32,3.2,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
33,3.4,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
34,3.5,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
35,4.2,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
36,4.4,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
37,5.6,z_askmoney,询问金额,benrenshoucui,,2.0,2.0
38,1.1,z_asktime,询问时间,benrenshoucui,,3.0,2.0
39,2.1,z_asktime,询问时间,benrenshoucui,,3.0,2.0
40,2.2,z_asktime,询问时间,benrenshoucui,,3.0,2.0
41,3.2,z_asktime,询问时间,benrenshoucui,,3.0,2.0
42,3.4,z_asktime,询问时间,benrenshoucui,,3.0,2.0
43,3.5,z_asktime,询问时间,benrenshoucui,,3.0,2.0
44,4.2,z_asktime,询问时间,benrenshoucui,,3.0,2.0
